"ID";"CIDADE TITULO";"Tipo";"Data";"UF";"Cidade/Região";"Quantidade de municípios";"Realizada";"Relatório";"Participantes Soc. Civil";"Participantes Poder Público";"Participantes Conselhos";"Participantes convidados";"Participantes Observadores";"Total Participantes";"Proposta Eixo 1";"Propostas Eixo 2";"Propostas Eixo 3";"Propostas Eixo 4";"Total de propostas";"Delegados Sociedade Civil";"Delegados Poder Público";"Delegados Conselhos";"Total de delegados"
65;"Belém";"Livre";06/10/11;"PA";"Belém";0;"SIM";"FINALIZADO";31;26;35;0;0;92;0;0;10;0;10;0;0;0;0
66;"Chapadinha";"Regional";06/10/11;"MA";"Chapadinha, Água Doce do Maranhão, Anapurus, Araioses, Brejo, Buriti,  Magalhães de Almeida, Mata Roma, Milagres do Maranhão, Paulino Neves, Santa Quitéria do Maranhão, Santana do Maranhão, São Bernardo, Tutóia ";14;"SIM";"FINALIZADO";226;14;17;4;3;264;4;5;2;9;20;13;6;2;21
67;"Lucena";"Municipal";06/10/11;"PB";"Lucena";1;"SIM";"FINALIZADO";20;20;10;1;1;52;3;7;6;4;20;2;2;0;4
68;"Piraquara";"Municipal";06/10/11;"PR";"Piraquara";1;"SIM";"Pré-conferência";54;13;22;10;2;101;5;5;5;5;20;6;3;1;10
69;"Sapé";"Municipal";06/10/11;"PB";"Sapé";1;"SIM";"FINALIZADO";16;43;5;4;27;95;3;5;1;6;15;2;1;1;4
70;"Bom Jesus do Araguaia";"Municipal";07/10/11;"MT";"Bom Jesus do Araguaia";1;"SIM";"FINALIZADO";10;15;5;0;0;30;4;3;8;4;19;0;1;0;1
71;"Forquilha";"Municipal";07/10/11;"CE";"Forquilha";1;"SIM";"FINALIZADO";35;24;5;3;2;69;3;3;5;1;12;6;3;1;10
72;"Irauçuba";"Municipal";07/10/11;"CE";"Irauçuba";1;"SIM";"FINALIZADO";11;34;10;10;0;65;3;4;5;8;20;6;3;1;10
73;"Olivedos";"Regional";07/10/11;"PB";"Olivedos, Pocinhos, Tenório";3;"SIM";"FINALIZADO";38;31;9;10;8;96;3;4;7;6;20;4;2;1;7
74;"Rialma";"Regional";07/10/11;"GO";"Rialma, Ceres, Goianésia, Guarinos, Jaraguá, Jesúpolis, Morro Agudo de Goiás, Nova Iguaçu de Goiás, Petrolina de Goiás, Rianápolis, Santa Isabel, São Luíz do Norte, Uruaçu";13;"SIM";"FINALIZADO";66;46;10;0;3;125;6;5;3;6;20;17;7;3;27
75;"Salgado de São Felix";"Municipal";07/10/11;"PB";"Salgado de São Felix";1;"SIM";"FINALIZADO";37;13;22;9;6;87;3;4;7;6;20;1;1;0;2
76;"Boa Ventura de São Roque";"Regional";09/10/11;"PR";"Boa Ventura de São Roque, Campina do Simão, Guarapuava, Iretama, Laranjal, Manoel Ribas, Mato Rico, Nova Tebas, Palmital,  Pitanga, Roncador, Santa Maria do Oeste, Turvo ";15;"SIM";"FINALIZADO";55;18;10;15;7;105;4;6;5;5;20;8;4;1;13
77;"Concórdia";"Regional";10/10/11;"SC";"Concórdia, Alto Bela Vista, Arabutã, Arvoredo,  Ipira, Ipumirim, Irani, Itá, Jaborá, Lindóia do Sul, Paial, Peritiba, Piratuba, Presidente Castelo Branco, Seara, Xavantina ";16;"SIM";"FINALIZADO";55;111;39;11;15;231;4;4;7;5;20;7;3;1;11
78;"Assis Brasil";"Regional";11/10/11;"AC";"Assis Brasil, Brasiléia, Epitaciolândia, Xapuri";4;"SIM";"FINALIZADO";48;37;12;2;3;102;5;5;5;5;20;2;4;1;7
79;"Chapecó";"Regional";11/10/11;"SC";"Chapecó, Águas de Chapecó, Caxambu do Sul,  Cordilheira Alta, Coronel Freitas, Formosa do Sul, Guatambú, Irati, Jardinópolis, Nova Erechim, Nova Itaberaba, Pinhalzinho, Planalto Alegre, Quilombo, Santiago do Sul, São Carlos, Serra Alta, Sul Brasil, União do Oeste ";20;"SIM";"FINALIZADO";54;71;10;3;0;138;5;5;5;5;20;25;11;4;40
80;"Junco do Seridó";"Municipal";11/10/11;"PB";"Junco do Seridó";1;"SIM";"FINALIZADO";73;39;29;11;25;177;3;3;3;3;12;0;2;0;2
81;"São João do Polêsine";"Regional";11/10/11;"RS";"São João do Polêsine, Agudo, Dona Francisca, Faxinal do Soturno, Ivorá, Nova Palma, Pinhal Grande, Restinga Seca, Silveira Martins ";9;"SIM";"FINALIZADO";48;42;10;3;0;103;4;3;5;7;19;0;1;0;1
82;"Viana";"Regional";11/10/11;"MA";"Viana, Arari, Bacurituba, Cajapió, Matinha, Olinda Nova do Maranhão";6;"SIM";"FINALIZADO";30;25;10;5;10;80;5;5;4;6;20;17;8;0;25
83;"Floresta Azul";"Municipal";13/10/11;"BA";"Floresta Azul";1;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
84;"Euclides da Cunha";"Municipal";13/10/11;"BA";"Euclides da Cunha";1;"SIM";"FINALIZADO";4;10;1;0;0;15;3;3;3;2;11;2;1;1;4
85;"Aparecida de Goiânia";"Municipal";14/10/11;"GO";"Aparecida de Goiânia";1;"SIM";"FINALIZADO";20;52;9;0;0;81;7;4;4;5;20;5;11;1;17
86;"Campo Bom";"Municipal";14/10/11;"RS";"Campo Bom";1;"SIM";"FINALIZADO";33;57;18;1;1;110;5;4;4;5;18;5;2;1;8
87;"Morrinhos";"Municipal";14/10/11;"CE";"Morrinhos";1;"SIM";"FINALIZADO";60;29;6;6;2;103;4;1;3;12;20;6;3;1;10
88;"Pinheiro";"Regional";14/10/11;"MA";"Pinheiro, Apicum-Açu, Bacuri, Bequimão, Cedral, Central do Maranhão, Cururupu, Guimarães, Mirinzal, Pedro do Rosário, Peri Mirim,  Porto Rico do Maranhão, Presidente Sarney, Santa Helena, Serrano do Maranhão, Turiaçu, Turilândia ";17;"SIM";"FINALIZADO";68;40;39;58;30;235;7;4;2;7;20;14;9;3;26
89;"Santana da Boa Vista";"Municipal";14/10/11;"RS";"Santana da Boa Vista";1;"SIM";"FINALIZADO";32;18;13;6;4;73;4;4;1;1;10;2;0;1;3
90;"Brotas de Macaúbas";"Municipal";15/10/11;"BA";"Brotas de Macaúbas";1;"SIM";"FINALIZADO";85;33;4;2;0;124;6;3;5;6;20;6;3;1;10
91;"Encruzilhada";"Municipal";17/10/11;"BA";"Encruzilhada";1;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
92;"Sapé";"Livre";17/10/11;"PB";"Sapé";0;"SIM";"NÃO RELATADA";;;;;;;;;;;0;;;;0
93;"Camalaú";"Municipal";17/10/11;"PB";"Camalaú";1;"SIM";"FINALIZADO";31;15;17;9;2;74;4;6;4;6;20;1;0;0;1
94;"Imigrante";"Municipal";17/10/11;"RS";"Imigrante";1;"SIM";"FINALIZADO";2;5;7;0;1;15;3;3;2;4;12;2;2;2;6
95;"Mamanguape";"Regional";17/10/11;"PB";"Mamanguape, Cuité de Mamanguape, Pedro Régis, Rio Tinto";4;"SIM";"FINALIZADO";34;50;24;10;6;124;5;5;5;5;20;5;3;1;9
96;"Igrapiúna";"Municipal";18/10/11;"BA";"Igrapiúna";1;"SIM";"FINALIZADO";12;89;3;6;14;124;2;2;4;2;10;2;1;1;4
97;"Jussara";"Livre";18/10/11;"GO";"Jussara";0;"SIM";"FINALIZADO";136;1;0;0;0;137;0;0;0;10;10;0;0;0;0
98;"Nova Mutum";"Municipal";18/10/11;"MT";"Nova Mutum";1;"SIM";"FINALIZADO";58;28;10;0;0;96;5;5;4;4;18;6;4;4;14
99;"Palmácia";"Municipal";18/10/11;"CE";"Palmácia";1;"SIM";"FINALIZADO";44;50;10;8;0;112;5;7;5;3;20;5;1;0;6
100;"Santa Inês";"Regional";18/10/11;"MA";"Santa Inês, Bela Vista do Maranhão, Bom Jardim, Pindaré-Mirim, Santa Luzia";5;"SIM";"FINALIZADO";33;48;3;21;1;106;5;4;3;8;20;12;7;3;22
101;"Santa Luzia";"Regional";18/10/11;"PB";"Santa Luzia, Salgadinho, São José do Sabugi, Várzea";4;"SIM";"FINALIZADO";46;34;50;12;6;148;5;5;5;5;20;3;1;1;5
102;"Tianguá";"Municipal";18/10/11;"CE";"Tianguá";1;"SIM";"FINALIZADO";25;43;15;0;0;83;2;6;6;6;20;11;6;2;19
103;"Tocantinópolis";"Regional";18/10/11;"TO";"Tocantinópolis, Aguiarnópolis, Darcinópolis, Luzinópolis, Nazaré, Palmeiras do Tocantins, Santa Terezinha do Tocantins";7;"SIM";"FINALIZADO";27;53;14;10;53;157;4;4;5;7;20;7;4;2;13
104;"Sumé";"Municipal";19/10/11;"PB";"Sumé";1;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
105;"Canindé de São Francisco";"Municipal";19/10/11;"SE";"Canindé de São Francisco";1;"SIM";"FINALIZADO";60;42;9;9;15;135;5;5;5;5;20;8;4;2;14
106;"Catanduva";"Municipal";19/10/11;"SP";"Catanduva";1;"SIM";"FINALIZADO";7;20;2;5;0;34;3;1;2;2;8;6;2;2;10
107;"Coreaú";"Municipal";19/10/11;"CE";"Coreaú";1;"SIM";"FINALIZADO";60;15;10;1;86;172;5;5;5;4;19;6;3;1;10
108;"Itabi";"Municipal";19/10/11;"SE";"Itabi";1;"SIM";"FINALIZADO";44;35;14;3;2;98;4;6;6;4;20;7;1;2;10
109;"Mafra";"Regional";19/10/11;"SC";"Mafra, Bela Vista do Toldo, Canoinhas, Irineópolis,  Major Vieira, Monte Castelo, Papanduva, Porto União, Três Barras ";9;"SIM";"FINALIZADO";22;80;11;30;0;143;3;9;6;2;20;10;4;2;16
110;"Ocara";"Municipal";19/10/11;"CE";"Ocara";1;"SIM";"FINALIZADO";30;27;6;7;5;75;4;5;6;5;20;6;3;1;10
111;"Pirpirituba";"Municipal";19/10/11;"PB";"Pirpirituba";1;"SIM";"FINALIZADO";33;16;6;3;0;58;5;7;3;5;20;1;1;0;2
112;"Queimadas";"Municipal";20/10/11;"BA";"Queimadas";1;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
113;"Trairi";"Municipal";20/10/11;"CE";"Trairi";1;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
114;"Acopiara";"Municipal";20/10/11;"CE";"Acopiara";1;"SIM";"FINALIZADO";54;26;20;10;5;115;5;5;5;5;20;12;5;2;19
115;"Augustinópolis";"Regional";20/10/11;"TO";"Augustinópolis, Araguatins, Axixá do Tocantins, Buriti do Tocantins, Carrasco Bonito, Esperantina, Itaguatins, Maurilândia do Tocantins, Praia Norte, Sampaio, São Miguel do Tocantins, São Sebastião do Tocantins, Sítio Novo do Tocantins ";13;"SIM";"FINALIZADO";28;34;14;12;15;103;5;5;5;5;20;11;7;2;20
116;"Bayeux";"Municipal";20/10/11;"PB";"Bayeux";1;"SIM";"FINALIZADO";6;64;12;1;0;83;3;2;6;8;19;4;2;1;7
117;"Boninal";"Municipal";20/10/11;"BA";"Boninal";1;"SIM";"FINALIZADO";75;71;2;0;0;148;7;5;5;3;20;6;3;1;10
118;"Caldas Brandão";"Municipal";20/10/11;"PB";"Caldas Brandão";1;"SIM";"FINALIZADO";41;16;8;3;5;73;2;2;4;3;11;0;0;1;1
119;"Cuité";"Municipal";20/10/11;"PB";"Cuité";1;"SIM";"FINALIZADO";15;25;6;4;0;50;5;4;6;5;20;1;1;1;3
120;"Manaus";"Municipal";20/10/11;"AM";"Manaus";1;"SIM";"FINALIZADO";158;77;10;25;0;270;6;4;5;5;20;106;31;8;145
121;"Poço Redondo";"Municipal";20/10/11;"SE";"Poço Redondo";1;"SIM";"FINALIZADO";260;40;22;18;1;341;6;4;4;5;19;5;1;2;8
122;"Ponte Nova";"Municipal";20/10/11;"MG";"Ponte Nova";1;"SIM";"FINALIZADO";20;45;8;0;0;73;5;5;5;5;20;4;4;2;10
123;"Porangatu";"Regional";20/10/11;"GO";"Porangatu, Bonópolis, Santa Tereza de Goiás, São Miguel do Araguaia";4;"SIM";"FINALIZADO";47;21;12;0;0;80;5;4;5;6;20;3;1;1;5
124;"Santa Helena";"Municipal";20/10/11;"PB";"Santa Helena";1;"SIM";"FINALIZADO";148;59;14;2;2;225;4;4;6;6;20;1;0;0;1
125;"Santa Terezinha";"Municipal";20/10/11;"MT";"Santa Terezinha";1;"SIM";"FINALIZADO";19;27;7;15;12;80;3;6;4;4;17;2;3;4;9
126;"São José do Brejo do Cruz";"Municipal";20/10/11;"PB";"São José do Brejo do Cruz";1;"SIM";"FINALIZADO";19;6;11;7;0;43;2;2;2;2;8;0;0;1;1
127;"Sena Madureira";"Municipal";20/10/11;"AC";"Sena Madureira";1;"SIM";"FINALIZADO";40;58;4;5;2;109;5;5;5;5;20;3;3;2;8
128;"Vila Rica";"Municipal";20/10/11;"MT";"Vila Rica";1;"SIM";"FINALIZADO";18;49;11;36;34;148;4;5;5;6;20;6;3;3;12
129;"Anápolis";"Municipal";21/10/11;"GO";"Anápolis";1;"SIM";"FINALIZADO";81;47;24;0;0;152;2;7;7;4;20;12;6;2;20
130;"Bertioga";"Municipal";21/10/11;"SP";"Bertioga";1;"SIM";"FINALIZADO";11;7;5;4;3;30;5;5;5;5;20;3;1;1;5
131;"Itabaiana";"Municipal";21/10/11;"SE";"Itabaiana";1;"SIM";"FINALIZADO";28;42;11;0;0;81;6;4;6;4;20;7;2;4;13
132;"Jijoca de Jericoacoara";"Municipal";21/10/11;"CE";"Jijoca de Jericoacoara";1;"SIM";"FINALIZADO";46;24;8;1;1;80;6;5;2;7;20;6;3;1;10
133;"Matina";"Municipal";21/10/11;"BA";"Matina";1;"SIM";"FINALIZADO";155;35;12;8;4;214;6;5;4;5;20;6;3;1;10
134;"Mesquita";"Municipal";21/10/11;"RJ";"Mesquita";1;"SIM";"FINALIZADO";48;47;10;10;10;125;4;4;4;4;16;3;3;1;7
135;"Nova Xavantina";"Municipal";21/10/11;"MT";"Nova Xavantina";1;"SIM";"FINALIZADO";19;26;17;0;15;77;7;3;4;6;20;4;2;2;8
136;"Paracuru";"Municipal";21/10/11;"CE";"Paracuru";1;"SIM";"FINALIZADO";44;27;8;20;0;99;5;4;3;8;20;6;3;1;10
137;"São Miguel do Oeste";"Regional";21/10/11;"SC";"São Miguel do Oeste, Anchieta, Bandeirante, Barra Bonita, Belmonte, Descanso, Dionísio Cerqueira, Guaraciaba, Guarujá do Sul, Iporã do Oeste, Itapiranga, Mondaí, Palma Sola, Paraíso, Princesa, Santa Helena, São João do Oeste, São José do Cedro, Tunápolis ";19;"SIM";"FINALIZADO";74;55;12;14;8;163;6;6;4;4;20;3;4;2;9
138;"Valença";"Municipal";21/10/11;"RJ";"Valença";1;"SIM";"FINALIZADO";38;24;8;4;6;80;5;5;5;5;20;3;1;1;5
139;"Viçosa do Ceará";"Municipal";21/10/11;"CE";"Viçosa do Ceará";1;"SIM";"FINALIZADO";60;30;10;30;20;150;5;5;5;5;20;16;12;4;32
140;"Zé Doca";"Regional";21/10/11;"MA";"Zé Doca, Amapá do Maranhão, Araguanã, Boa Vista do Gurupi, Cândido Mendes, Carutapera, Centro do Guilherme, Centro Novo do Maranhão, Godofredo Viana, Governador Newton Bello, Governador Nunes Freire, Junco do Maranhão, Luís Domingues, Maracaçumé, Maranhãozinho, Nova Olinda do Maranhão, Presidente Médici, Santa Luzia do Paruá ";18;"SIM";"FINALIZADO";69;16;35;0;0;120;6;6;3;5;20;12;6;2;20
141;"João Pessoa";"Livre";22/10/11;"PB";"João Pessoa";0;"SIM";"FINALIZADO";13;16;7;0;0;36;0;6;0;4;10;0;0;0;0
142;"Piracicaba";"Municipal";22/10/11;"SP";"Piracicaba";1;"SIM";"FINALIZADO";70;26;10;8;0;114;6;5;5;4;20;3;1;1;5
143;"Boa Vista ";"Livre";24/10/11;"RR";"Boa Vista - EE Hélio Campos (Matutino)";0;"SIM";"FINALIZADO";321;25;12;0;0;358;2;6;0;2;10;0;0;0;0
144;"Boa Vista ";"Livre";24/10/11;"RR";"Boa Vista - EE Helio Campos A";0;"SIM";"FINALIZADO";121;28;0;0;0;149;2;6;0;2;10;0;0;0;0
145;"Boa Vista ";"Livre";24/10/11;"RR";"Boa Vista - EE Helio Campos B";0;"SIM";"FINALIZADO";110;9;0;0;0;119;0;2;0;8;10;0;0;0;0
146;"Poço José de Moura";"Municipal";24/10/11;"PB";"Poço José de Moura";1;"SIM";"FINALIZADO";27;10;7;8;0;52;5;6;4;5;20;1;0;0;1
147;"Teresópolis";"Livre";24/10/11;"RJ";"Teresópolis";0;"SIM";"FINALIZADO";117;8;3;0;0;128;2;2;3;3;10;0;0;0;0
148;"Cacimba de Areia";"Regional";25/10/11;"PB";"Cacimba de Areia, Cacimba de Dentro, Coremas, Emas, Mãe d'Água, Patos, Pombal, São José de Espinharas, São Mamede";9;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
149;"Desterro";"Municipal";25/10/11;"PB";"Desterro";1;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
150;"Pinhais";"Municipal";25/10/11;"PR";"Pinhais";1;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
151;"Açailândia";"Regional";25/10/11;"MA";"Açailândia, Bom Jesus das Selvas, Buriticupu, Cidelândia, Itinga do Maranhão, São Francisco do Brejão, São Pedro da Água Branca, Vila Nova dos Martírios ";8;"SIM";"FINALIZADO";68;39;39;12;6;164;5;3;6;6;20;12;6;2;20
152;"Alhandra";"Municipal";25/10/11;"PB";"Alhandra";1;"SIM";"FINALIZADO";18;33;8;2;1;62;2;7;7;4;20;1;1;1;3
153;"Areia de Baraúnas";"Municipal";25/10/11;"PB";"Areia de Baraúnas";1;"SIM";"FINALIZADO";36;15;4;0;1;56;5;5;5;5;20;1;0;0;1
154;"Boa Vista ";"Livre";25/10/11;"RR";"Boa Vista - EE 13 de Setembro - Matutino";0;"SIM";"FINALIZADO";155;11;2;0;0;168;1;1;0;8;10;0;0;0;0
155;"Boa Vista ";"Livre";25/10/11;"RR";"Boa Vista - EE 13 de Setembro - Vespertino";0;"SIM";"FINALIZADO";142;18;2;0;0;162;1;2;0;7;10;0;0;0;0
